1	4647229,3964859;
10000	4539112;
100000	5031388;
1000006	4714284;
1000011	5033339;
1000017	3908629;
1000026	4043055;
1000033	4975983,4190903;
1000044	4055371,4082383;
1000046	5918892,5525001;
1000051	4541310;
1000073	5474494,4107819;
1000084	4683770,4182197;
1000086	4686189,4178246,4839046,4217220;
1000118	4919466,5058767,5029926;
1000125	4573823;
1000129	4748545;
1000134	4977842,4373460,4175499;
1000145	3961423;
1000149	5876147,5193932;
1000150	4217940,4271874;
1000152	3962981,4269599,4032016;
1000172	4865014,4653469,4974551;
1000178	4830222;
1000181	5185948;
1000185	3871143,5793021,4082391;
1000187	4470573;
1000206	3995657;
1000213	4790509,4002317,3866664;
1000219	5632107;
1000226	4763940,4330894,4177698,5182972;
1000233	5451018;
1000235	5704127;
1000268	4691948,4811579,4873850,4159153;
1000277	5448931,5076121,5531549,5305670,5090273;
1000280	4449874,4712957;
1000286	5316187;
1000295	4402751;
1000297	4353133,5742947;
1000305	5484268,3945763;
1000318	5412892;
1000332	4767544,4298475,5478467,5718681,4995976,5156335,5085335;
1000345	5099648;
1000347	4270670;
1000383	5560077;
1000385	4812049,5814738;
1000389	5649404,4544124,5546724,4668141,4616797;
1000406	5957803,4867012;
1000440	5032816;
1000466	4706878,4598860,4799618,4911354;
1000473	5964299,5176209,3942591,4790388,4890679;
1000479	4395265,3990180;
1000484	5209565;
1000488	5386463;
1000491	3885321;
1000505	4272102;
1000523	4119171;
1000527	4709566;
1000530	5653123;
1000538	3915477;
1000545	5106424,5184917;
100055	4697045,4104951,5529424;
1000574	5992197,6006568,4751835;
1000583	4605067,4372389,4600056;
1000587	4545309;
1000608	4714534,3864237,4372827,4194961;
1000619	5735085,5971009;
1000624	4658984,5137211,5020719,4039118,5328082,5249737;
1000633	4295383;
1000644	4575239,4501494;
1000664	4422359;
1000677	4181291;
1000686	4066791;
1000721	3892234,5193530,4638410;
1000723	5189885;
1000725	4768764,5156383;
1000729	5735308;
100073	4763582;
1000736	5503263,3878852;
1000758	5064493,5310586,5484640,3892898,4057944,5126183,5299405,4395448;
1000774	5350155;
1000785	4730880,4934766,4928675;
1000798	5745947;
1000806	4042261;
1000813	4151685,3951619;
1000822	4655017,4961258,4641467,4722374,5568709;
1000828	4582483,5038687,4286422;
1000831	4926037,4410805;
1000840	4256175,4669617;
1000868	4404927;
1000875	4167217,5816632;
1000880	5291990;
1000888	3961404;
1000912	4765666,4776954;
1000945	5863023,5379793,5924447,5664759,5810031;
1000961	4436161;
1000965	4352444;
1000967	4377732;
1000974	4585510;
1000978	5680314;
1000992	4823442;
1000998	5857587;
1001036	3871278;
1001041	4046482,3914911,5611640,5328291,5628152,6007270,5697729;
1001054	5503575,5864093,3960461,5084963;
1001061	5400513,4329570;
1001065	4359146,4572337;
1001069	4265470,4013310,4248459,3858600;
1001094	4083704,4069027,5129926,5888277;
1001100	5836625;
1001111	5715858,4356996,4497335,5890513;
1001117	5975588;
1001119	4244177;
1001124	4270289;
1001126	4403415,4138911;
1001128	4482075;
100114	4767167;
1001144	4918883,4817346;
1001151	4070967;
100116	4158899;
1001168	5893262,4976095;
1001175	5782621,4496846,4496847;
1001180	4934634,4795115;
1001205	4903406,5544977,5439320,4738565;
1001209	4630384,5639131;
1001212	5297914,5297920;
1001214	4050106,5446932;
1001218	5156335;
1001229	5501019,5426859;
1001238	4862726;
1001247	4563354;
1001261	4340101;
1001265	5370474;
1001272	4076061,4204663,4685495,4201375,4294295,4176696,4173237,4281697,4269242;
1001274	4270737;
1001290	3960203;
1001292	3923131;
1001302	4903567;
1001320	4683852;
1001324	4809740;
1001333	3943818;
1001344	5560449;
1001377	4503687,4878364,3974662;
1001379	5482302;
1001386	4029412;
1001395	5090936,4903424;
1001403	5329712;
1001410	4333274,4257194;
1001416	4903923,3870154,4458501,4875649;
1001421	4695114;
1001443	5630781,3972768,4298148;
1001449	5569370,5882502;
1001458	4224221;
1001478	4279629;
1001485	4191138,4781153;
10015	5184800,5660377,4907636;
1001500	4448628,5022845;
1001504	5398570;
1001508	5741066,4448536,5144892,5882114,5927200,4634286;
1001520	4756582,4169638;
1001524	4723627,5960910;
1001533	4667468,4507067,4782656,5580227;
1001539	4919557;
1001555	4229483;
1001560	4535521;
1001573	5649852;
1001597	3861811;
1001599	4261523;
1001603	4765795,4422269;
1001610	4796952,5026119;
1001612	4973211,4755091;
1001625	4953242;
1001634	5115655;
1001638	4300885;
1001641	4360931;
1001652	4011691;
1001654	5446264;
1001656	3982525;
1001669	3973716,4917967;
1001676	4144004;
1001683	4770678;
1001687	5035155;
1001689	5411231,4154166,4228736;
1001698	5355110,5254967;
10017	5443140;
1001700	5515624;
1001713	5090546;
1001715	4235270;
1001722	4461174;
1001735	3902275,4567693;
1001739	4372760;
1001753	4026342;
1001759	3900140;
1001764	3989324;
1001779	5209606;
1001782	4777917;
1001786	5487661;
1001791	4436197;
1001799	4132098,5918495,4671092;
1001809	4187788;
1001814	5168633;
1001816	3939717;
1001821	4627328;
100183	3941193,4044841;
1001836	4888145;
1001858	3876357;
1001865	5105909;
1001878	4697833,5836054,4075742;
1001887	4000772;
1001892	4971269;
1001931	5097758,4738195,3874280;
1001937	4885387;
1001940	5601544,5895382;
1001946	3967327,4361098,4199301,5701616,5150484,4090585;
1001951	5238367;
1001955	4216730;
1001962	5782477;
1001968	4878488;
1001971	5397275;
1001975	4433607;
1001979	4747213;
1001984	5310371;
1001988	4142326;
1001991	5510891,5091803;
1001995	5683060;
1002013	5711554,4469358,5209533;
1002017	4045354;
1002042	4248542;
1002048	4519262,4015689;
1002051	3968602;
1002059	5359971;
1002060	5083318;
1002114	5241780,5462324,5735560;
1002132	4235057,4025675;
1002141	3906503;
1002143	4239523;
1002147	4113212,5754996,4546948;
1002149	4897931;
1002158	5494298;
1002161	5709062,5704183,5827015,5589124,5879603,5984576,5711129,5795105,4397578,4341489,5490363,4875804,4592678;
1002169	4033227;
10022	4314885;
1002219	5036661;
1002242	4246895,5452514;
1002259	5412960,4076289,3909050,4303165;
1002260	3995796,4343449;
1002264	4306743;
1002268	5638569;
1002271	5558245;
1002275	4037566;
1002293	4563186;
1002305	4264102;
100231	5197820;
1002310	4880407;
1002325	3971432;
1002332	4678177;
1002338	4356712,4287734;
1002347	4277185,5380662;
1002350	5649788,4688360;
1002376	5129524,3906847;
1002381	4274591;
1002431	5311803;
1002446	4384889;
1002448	4597351,4139334,4104346;
1002462	4925543;
1002468	4471505,5291878,5027796,5890252,5342365,4765350,5761758;
1002471	5976388,5188583;
1002486	5918506;
1002501	4312289;
1002507	4114919;
1002510	5292014;
1002512	4495966;
1002514	4452542,4273500;
1002521	4376616;
1002525	4416655;
1002529	3998452;
1002530	5451184,4429516;
1002536	5651672,5897313;
1002543	5427808;
100255	3926207;
1002567	4121200;
1002578	5958306,5545356;
100259	4450828,4403901;
